Year,Species,Source,Harvest ('000 t),Landed Value ($ million),Wholesale Value ($ million)
2021,Sablefish,Wild Commercial,3.03,24.99,30.87
2022,Sablefish,Wild Commercial,2.96,29.37,33.4
2023,Sablefish,Wild Commercial,3.35,25.85,20.85
2021,Skates,Wild Commercial,0.34,0.44,0.59
2022,Skates,Wild Commercial,0.34,0.45,1.26
2023,Skates,Wild Commercial,0.29,0.36,0.49
2021,Soles,Wild Commercial,3.59,5.76,11.65
2022,Soles,Wild Commercial,3.45,4.49,9.92
2023,Soles,Wild Commercial,2.44,3.15,7.08
2021,Other Groundfish,Wild Commercial,2.53,0.3,8.63
2022,Other Groundfish,Wild Commercial,3.76,4.85,13.58
2023,Other Groundfish,Wild Commercial,3.44,4.2,9.01
2021,Clams (Excl. Geoduck),Wild Commercial,0.32,1.39,8.35
2022,Clams (Excl. Geoduck),Wild Commercial,0.3,1.78,8.62
2023,Clams (Excl. Geoduck),Wild Commercial,0.27,1.72,12.62
2021,Crabs,Wild Commercial,9.71,150.45,209.77
2022,Crabs,Wild Commercial,8.88,116.06,203.31
2023,Crabs,Wild Commercial,7.18,113.54,230.91
2021,Geoducks,Wild Commercial,1.29,43.15,52.9
2022,Geoducks,Wild Commercial,1.26,53.08,60.75
2023,Geoducks,Wild Commercial,1.44,64.8,71.21
2021,Prawns,Wild Commercial,1.59,30.26,59.39
2022,Prawns,Wild Commercial,1.6,65.3,87.64
2023,Prawns,Wild Commercial,1.59,72.51,82.73
2021,Sea Cucumbers,Wild Commercial,1.65,9.46,8.62
2022,Sea Cucumbers,Wild Commercial,1.65,8.93,11.37
2023,Sea Cucumbers,Wild Commercial,1.65,8.52,15.96
2021,Sea Urchins Green,Wild Commercial,0.29,1.25,2.96
2022,Sea Urchins Green,Wild Commercial,0.27,1.52,3.07
2023,Sea Urchins Green,Wild Commercial,0.29,1.84,3.06
2021,Sea Urchins Red,Wild Commercial,3.44,8.42,14.81
2022,Sea Urchins Red,Wild Commercial,2.21,6.74,14.31
2023,Sea Urchins Red,Wild Commercial,1.98,6.11,27.04
2021,Shrimp,Wild Commercial,0.17,1.52,4.1
2022,Shrimp,Wild Commercial,0.15,1.77,2.65
2023,Shrimp,Wild Commercial,0.08,0.8,1.42
2021,Other Invertebrates,Wild Commercial,0.29,0.51,20.1
2022,Other Invertebrates,Wild Commercial,0.08,0.29,14.52
2023,Other Invertebrates,Wild Commercial,0.19,0.68,26.99
2021,Geoducks & Other Clams,Aquaculture,0.99,8.44,11.44
2022,Geoducks & Other Clams,Aquaculture,1.33,9.47,14.57
2023,Geoducks & Other Clams,Aquaculture,1.4,13.22,16.65
2021,Mussels,Aquaculture,0.48,2.5,9.95
2022,Mussels,Aquaculture,0.54,3.06,4.88
2023,Mussels,Aquaculture,0.71,4.41,8.5
2021,Oysters,Aquaculture,8,20.06,32.27
2022,Oysters,Aquaculture,8.35,17.01,36.65
2023,Oysters,Aquaculture,7.37,16.1,22.62
2021,Scallops & Other Invertebrates,Aquaculture,0.04,1.09,5.71
2022,Scallops & Other Invertebrates,Aquaculture,0.07,0.6,38.37
2023,Scallops & Other Invertebrates,Aquaculture,0.09,1.15,22.62
2021,Tuna,Wild Commercial,2.4,18.31,51.02
2022,Tuna,Wild Commercial,1.19,30.48,65.03
2023,Tuna,Wild Commercial,1.3,5.55,34.46
2021,Other ,Wild Commercial,0.73,0.1,43.34
2022,Other ,Wild Commercial,0.01,0.04,67.65
2023,Other,Wild Commercial,0.07,0.18,136.19
2021,Other,Aquaculture,2.33,20.94,40.2
2022,Other,Aquaculture,1.19,16.19,40.11
2023,Other,Aquaculture,1.3,18.7,46.65
